#timestamp(s) translation_x(m) translation_y(m) translation_z(m)
1640241938.900000095 848.80 -1899.50 3430.57 
1640241939.000000000 848.80 -1899.50 3430.57 
1640241939.099999905 848.80 -1899.50 3430.57 
1640241939.200000048 848.80 -1899.50 3430.57 
1640241939.299999952 848.80 -1899.50 3430.57 
1640241939.400000095 848.80 -1899.50 3430.57 
1640241939.500000000 848.80 -1899.50 3430.57 
1640241939.599999905 848.80 -1899.50 3430.57 
1640241939.700000048 848.80 -1899.50 3430.57 
1640241939.799999952 848.80 -1899.50 3430.57 
1640241939.900000095 848.80 -1899.50 3430.57 
1640241940.000000000 848.80 -1899.50 3430.57 
1640241940.099999905 848.80 -1899.50 3430.57 
1640241940.200000048 848.80 -1899.50 3430.57 
1640241940.299999952 848.80 -1899.50 3430.57 
1640241940.400000095 848.80 -1899.50 3430.57 
1640241940.500000000 848.80 -1899.50 3430.57 
1640241940.599999905 848.80 -1899.50 3430.57 
1640241940.700000048 848.80 -1899.50 3430.57 
1640241940.799999952 848.80 -1899.49 3430.57 
1640241940.900000095 848.80 -1899.49 3430.57 
1640241941.000000000 848.80 -1899.49 3430.57 
1640241941.099999905 848.80 -1899.49 3430.57 
1640241941.200000048 848.80 -1899.49 3430.57 
1640241941.299999952 848.80 -1899.49 3430.57 
1640241941.400000095 848.80 -1899.49 3430.57 
1640241941.500000000 848.80 -1899.49 3430.57 
1640241941.599999905 848.80 -1899.49 3430.57 
1640241941.700000048 848.80 -1899.49 3430.57 
1640241941.799999952 848.80 -1899.49 3430.57 
1640241941.900000095 848.80 -1899.49 3430.57 
1640241942.000000000 848.80 -1899.49 3430.57 
1640241942.099999905 848.80 -1899.49 3430.57 
1640241942.200000048 848.80 -1899.49 3430.57 
1640241942.299999952 848.80 -1899.49 3430.58 
1640241942.400000095 848.81 -1899.49 3430.58 
1640241942.500000000 848.80 -1899.49 3430.58 
1640241942.599999905 848.80 -1899.49 3430.57 
1640241942.700000048 848.80 -1899.49 3430.57 
1640241942.799999952 848.80 -1899.49 3430.56 
1640241942.900000095 848.79 -1899.49 3430.56 
